6125
NM_001178855.3	NM_001178855.3	MissingGeneType
NM_001178854.1	NM_001178854.1	MissingGeneType
NM_001178853.1	NM_001178853.1	MissingGeneType
NM_001178852.3	NM_001178852.3	MissingGeneType
NM_001178851.1	NM_001178851.1	MissingGeneType
NM_001178850.1	NM_001178850.1	MissingGeneType
NM_001178849.3	NM_001178849.3	MissingGeneType
NM_001178848.1	NM_001178848.1	MissingGeneType
NM_001178847.1	NM_001178847.1	MissingGeneType
NM_001178846.3	NM_001178846.3	MissingGeneType
NM_001178845.1	NM_001178845.1	MissingGeneType
NM_001178844.1	NM_001178844.1	MissingGeneType
NM_001348820.1	NM_001348820.1	MissingGeneType
NM_001178842.3	NM_001178842.3	MissingGeneType
NM_001178841.1	NM_001178841.1	MissingGeneType
NM_001178840.1	NM_001178840.1	MissingGeneType
NM_001178839.3	NM_001178839.3	MissingGeneType
NM_001178838.1	NM_001178838.1	MissingGeneType
NM_001178837.1	NM_001178837.1	MissingGeneType
NM_001178836.3	NM_001178836.3	MissingGeneType
NM_001184349.1	NM_001184349.1	MissingGeneType
NR_132166.1	NR_132166.1	MissingGeneType
NM_001178835.1	NM_001178835.1	MissingGeneType
NM_001178834.3	NM_001178834.3	MissingGeneType
NM_001178833.1	NM_001178833.1	MissingGeneType
NM_001180029.1	NM_001180029.1	MissingGeneType
NM_001178832.3	NM_001178832.3	MissingGeneType
NM_001178831.1	NM_001178831.1	MissingGeneType
NM_001178830.1	NM_001178830.1	MissingGeneType
NM_001348821.1	NM_001348821.1	MissingGeneType
NM_001178828.3	NM_001178828.3	MissingGeneType
NM_001178827.1	NM_001178827.1	MissingGeneType
NM_001178826.1	NM_001178826.1	MissingGeneType
NM_001348822.1	NM_001348822.1	MissingGeneType
NM_001178824.3	NM_001178824.3	MissingGeneType
NM_001348823.1	NM_001348823.1	MissingGeneType
NM_001178822.1	NM_001178822.1	MissingGeneType
NM_001178821.1	NM_001178821.1	MissingGeneType
NM_001178820.3	NM_001178820.3	MissingGeneType
NM_001178819.1	NM_001178819.1	MissingGeneType
NM_001178818.1	NM_001178818.1	MissingGeneType
NM_001178817.3	NM_001178817.3	MissingGeneType
NM_001178816.1	NM_001178816.1	MissingGeneType
NM_001178892.1	NM_001178892.1	MissingGeneType
NM_001178893.3	NM_001178893.3	MissingGeneType
NM_001178894.1	NM_001178894.1	MissingGeneType
NM_001178895.1	NM_001178895.1	MissingGeneType
NM_001178896.3	NM_001178896.3	MissingGeneType
NM_001178897.1	NM_001178897.1	MissingGeneType
NM_001178898.1	NM_001178898.1	MissingGeneType
NM_001180857.3	NM_001180857.3	MissingGeneType
NR_132167.1	NR_132167.1	MissingGeneType
NM_001178899.1	NM_001178899.1	MissingGeneType
NM_001178900.1	NM_001178900.1	MissingGeneType
NM_001178901.3	NM_001178901.3	MissingGeneType
NM_001178902.1	NM_001178902.1	MissingGeneType
NM_001178903.1	NM_001178903.1	MissingGeneType
NM_001178904.3	NM_001178904.3	MissingGeneType
NM_001178905.1	NM_001178905.1	MissingGeneType
NM_001184456.1	NM_001184456.1	MissingGeneType
NM_001178906.3	NM_001178906.3	MissingGeneType
NM_001178907.1	NM_001178907.1	MissingGeneType
NM_001178908.1	NM_001178908.1	MissingGeneType
NM_001178909.3	NM_001178909.3	MissingGeneType
NM_001178910.1	NM_001178910.1	MissingGeneType
NM_001180031.1	NM_001180031.1	MissingGeneType
NM_001178911.3	NM_001178911.3	MissingGeneType
NM_001178912.1	NM_001178912.1	MissingGeneType
NM_001178913.1	NM_001178913.1	MissingGeneType
NM_001178914.3	NM_001178914.3	MissingGeneType
NM_001178915.1	NM_001178915.1	MissingGeneType
NM_001178916.1	NM_001178916.1	MissingGeneType
NM_001178917.3	NM_001178917.3	MissingGeneType
NM_001178918.1	NM_001178918.1	MissingGeneType
NM_001178919.1	NM_001178919.1	MissingGeneType
NM_001178920.3	NM_001178920.3	MissingGeneType
NM_001178921.1	NM_001178921.1	MissingGeneType
NM_001178922.1	NM_001178922.1	MissingGeneType
NM_001178923.3	NM_001178923.3	MissingGeneType
NM_001178924.1	NM_001178924.1	MissingGeneType
NM_001178925.1	NM_001178925.1	MissingGeneType
NM_001178926.3	NM_001178926.3	MissingGeneType
NM_001178927.1	NM_001178927.1	MissingGeneType
NM_001178928.1	NM_001178928.1	MissingGeneType
NM_001178929.3	NM_001178929.3	MissingGeneType
NM_001301348.1	NM_001301348.1	MissingGeneType
NM_001178930.1	NM_001178930.1	MissingGeneType
NM_001184319.1	NM_001184319.1	MissingGeneType
NM_001178931.3	NM_001178931.3	MissingGeneType
NM_001178932.2	NM_001178932.2	MissingGeneType
NM_001178933.1	NM_001178933.1	MissingGeneType
NM_001178934.3	NM_001178934.3	MissingGeneType
NM_001178935.1	NM_001178935.1	MissingGeneType
NM_001180023.1	NM_001180023.1	MissingGeneType
NM_001178936.3	NM_001178936.3	MissingGeneType
NM_001178937.1	NM_001178937.1	MissingGeneType
NM_001178938.1	NM_001178938.1	MissingGeneType
NM_001178939.3	NM_001178939.3	MissingGeneType
